# SAVED: date 08/19/2014 time 16:29:42
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01100000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
12652.000000,187.000000,179.088000,15.000000,-,10692.670822,1365.009308,-,-,-,-,-,
12855.000000,203.000000,177.870000,15.000000,-,10724.737167,1375.229836,-,-,-,-,-,
13042.000000,187.000000,176.748000,15.000000,-,10754.196167,1375.858545,-,-,-,-,-,
13229.000000,187.000000,175.626000,15.000000,-,10831.489563,1376.984358,-,-,-,-,-,
13416.000000,187.000000,174.504000,15.000000,-,10867.488861,1371.990681,-,-,-,-,-,
13588.000000,172.000000,173.472000,15.000000,-,10929.960251,1370.793104,-,-,-,-,-,
13760.000000,172.000000,172.440000,15.000000,-,10980.272293,1372.038603,-,-,-,-,-,
13947.000000,187.000000,171.318000,15.000000,-,11014.129639,1368.841410,-,-,-,-,-,
14118.000000,171.000000,170.292000,15.000000,-,11055.934906,1365.679741,-,-,-,-,-,
14290.000000,172.000000,169.260000,15.000000,-,11105.079651,1375.199795,-,-,-,-,-,
14462.000000,172.000000,168.228000,15.000000,-,11135.477066,1372.822762,-,-,-,-,-,
14633.000000,171.000000,167.202000,15.000000,-,11188.297272,1366.332531,-,-,-,-,-,
14805.000000,172.000000,166.170000,15.000000,-,11234.067917,1369.368315,-,-,-,-,-,
14976.000000,171.000000,165.144000,15.000000,-,11292.303085,1368.571997,-,-,-,-,-,
15148.000000,172.000000,164.112000,15.000000,-,11314.281464,1370.032787,-,-,-,-,-,
15335.000000,187.000000,162.990000,15.000000,-,11370.464325,1368.793249,-,-,-,-,-,
15522.000000,187.000000,161.868000,15.000000,-,11446.550369,1366.991043,-,-,-,-,-,
15710.000000,188.000000,160.740000,15.000000,-,11484.348297,1371.272087,-,-,-,-,-,
15897.000000,187.000000,159.618000,15.000000,-,11523.656845,1374.888897,-,-,-,-,-,
16084.000000,187.000000,158.496000,15.000000,-,11574.537277,1372.835159,-,-,-,-,-,
16271.000000,187.000000,157.374000,15.000000,-,11616.958618,1366.565943,-,-,-,-,-,
16458.000000,187.000000,156.252000,15.000000,-,11664.649963,1372.146368,-,-,-,-,-,
16646.000000,188.000000,155.124000,15.000000,-,11724.769592,1371.254206,-,-,-,-,-,
16833.000000,187.000000,154.002000,15.000000,-,11764.659882,1375.080109,-,-,-,-,-,
17020.000000,187.000000,152.880000,15.000000,-,11823.760986,1364.266872,-,-,-,-,-,
17207.000000,187.000000,151.758000,15.000000,-,11882.869720,1369.344473,-,-,-,-,-,
17394.000000,187.000000,150.636000,15.000000,-,11926.019669,1368.236542,-,-,-,-,-,
17582.000000,188.000000,149.508000,15.000000,-,11971.479416,1369.272232,-,-,-,-,-,
17769.000000,187.000000,148.386000,15.000000,-,12040.916443,1372.367859,-,-,-,-,-,
17956.000000,187.000000,147.264000,15.000000,-,12096.040726,1369.685650,-,-,-,-,-,
18143.000000,187.000000,146.142000,15.000000,-,12145.154953,1368.080854,-,-,-,-,-,
18330.000000,187.000000,145.020000,15.000000,-,12189.340591,1374.134064,-,-,-,-,-,
18518.000000,188.000000,143.892000,15.000000,-,12260.614395,1374.667168,-,-,-,-,-,
18706.000000,188.000000,142.764000,15.000000,-,12315.937042,1371.942759,-,-,-,-,-,
18893.000000,187.000000,141.642000,15.000000,-,12346.105576,1368.763447,-,-,-,-,-,
19080.000000,187.000000,140.520000,15.000000,-,12410.942078,1362.255096,-,-,-,-,-,
19267.000000,187.000000,139.398000,15.000000,-,12474.412918,1367.991209,-,-,-,-,-,
19455.000000,188.000000,138.270000,15.000000,-,12519.950867,1374.493599,-,-,-,-,-,
19626.000000,171.000000,137.244000,15.000000,-,12581.579208,1360.668421,-,-,-,-,-,
19813.000000,187.000000,136.122000,15.000000,-,12643.619537,1369.535685,-,-,-,-,-,
20001.000000,188.000000,134.994000,15.000000,-,12703.590393,1363.811970,-,-,-,-,-,
20188.000000,187.000000,133.872000,15.000000,-,12751.987457,1368.146896,-,-,-,-,-,
20375.000000,187.000000,132.750000,15.000000,-,12810.642242,1373.301983,-,-,-,-,-,
20562.000000,187.000000,131.628000,15.000000,-,12872.659683,1379.349232,-,-,-,-,-,
20749.000000,187.000000,130.506000,15.000000,-,12932.157516,1369.721651,-,-,-,-,-,
20937.000000,188.000000,129.378000,15.000000,-,12999.052048,1369.266510,-,-,-,-,-,
21124.000000,187.000000,128.256000,15.000000,-,13052.433014,1375.768900,-,-,-,-,-,
21311.000000,187.000000,127.134000,15.000000,-,13104.360580,1381.127596,-,-,-,-,-,
21498.000000,187.000000,126.012000,15.000000,-,13172.782898,1376.277685,-,-,-,-,-,
21685.000000,187.000000,124.890000,15.000000,-,13224.170685,1368.511915,-,-,-,-,-,
21873.000000,188.000000,123.762000,15.000000,-,13294.374466,1374.954462,-,-,-,-,-,
22060.000000,187.000000,122.640000,15.000000,-,13376.173019,1368.146896,-,-,-,-,-,
22247.000000,187.000000,121.518000,15.000000,-,13427.772522,1371.661425,-,-,-,-,-,
22434.000000,187.000000,120.396000,15.000000,-,13480.396271,1369.014978,-,-,-,-,-,
22621.000000,187.000000,119.274000,15.000000,-,13541.872025,1370.020866,-,-,-,-,-,
22793.000000,172.000000,118.242000,15.000000,-,13609.354019,1370.853186,-,-,-,-,-,
22965.000000,172.000000,117.210000,15.000000,-,13670.654297,1372.625351,-,-,-,-,-,
23136.000000,171.000000,116.184000,15.000000,-,13734.674454,1377.403498,-,-,-,-,-,
23323.000000,187.000000,115.062000,15.000000,-,13783.227921,1371.877193,-,-,-,-,-,
23495.000000,172.000000,114.030000,15.000000,-,13853.113174,1365.212917,-,-,-,-,-,
