# Saved: 07-Mar-2013 10:25:21
*VERSION*1.100000
*ORIENTATION*1
*CHANNELS*11000000
*PDD*1

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
0,0,0,110,0.41986,1,-,-,-,-,-,-,
0,0,0,111,0.417,1,-,-,-,-,-,-,
0,0,0,112,0.41413,1,-,-,-,-,-,-,
0,0,0,113,0.41126,1,-,-,-,-,-,-,
0,0,0,114,0.40839,1,-,-,-,-,-,-,
0,0,0,115,0.40553,1,-,-,-,-,-,-,
0,0,0,116,0.40266,1,-,-,-,-,-,-,
0,0,0,117,0.39979,1,-,-,-,-,-,-,
0,0,0,118,0.39692,1,-,-,-,-,-,-,
0,0,0,119,0.39406,1,-,-,-,-,-,-,
0,0,0,120,0.39119,1,-,-,-,-,-,-,
0,0,0,121,0.38853,1,-,-,-,-,-,-,
0,0,0,122,0.38587,1,-,-,-,-,-,-,
0,0,0,123,0.38321,1,-,-,-,-,-,-,
0,0,0,124,0.38056,1,-,-,-,-,-,-,
0,0,0,125,0.3779,1,-,-,-,-,-,-,
0,0,0,126,0.37524,1,-,-,-,-,-,-,
0,0,0,127,0.37258,1,-,-,-,-,-,-,
0,0,0,128,0.36992,1,-,-,-,-,-,-,
0,0,0,129,0.36726,1,-,-,-,-,-,-,
0,0,0,130,0.3646,1,-,-,-,-,-,-,
0,0,0,131,0.36218,1,-,-,-,-,-,-,
0,0,0,132,0.35975,1,-,-,-,-,-,-,
0,0,0,133,0.35732,1,-,-,-,-,-,-,
0,0,0,134,0.3549,1,-,-,-,-,-,-,
0,0,0,135,0.35247,1,-,-,-,-,-,-,
0,0,0,136,0.35004,1,-,-,-,-,-,-,
0,0,0,137,0.34762,1,-,-,-,-,-,-,
0,0,0,138,0.34519,1,-,-,-,-,-,-,
0,0,0,139,0.34276,1,-,-,-,-,-,-,
0,0,0,140,0.34034,1,-,-,-,-,-,-,
0,0,0,141,0.33804,1,-,-,-,-,-,-,
0,0,0,142,0.33574,1,-,-,-,-,-,-,
0,0,0,143,0.33345,1,-,-,-,-,-,-,
0,0,0,144,0.33115,1,-,-,-,-,-,-,
0,0,0,145,0.32886,1,-,-,-,-,-,-,
0,0,0,146,0.32656,1,-,-,-,-,-,-,
0,0,0,147,0.32427,1,-,-,-,-,-,-,
0,0,0,148,0.32197,1,-,-,-,-,-,-,
0,0,0,149,0.31967,1,-,-,-,-,-,-,
0,0,0,150,0.31738,1,-,-,-,-,-,-,
0,0,0,151,0.31526,1,-,-,-,-,-,-,
0,0,0,152,0.31315,1,-,-,-,-,-,-,
0,0,0,153,0.31103,1,-,-,-,-,-,-,
0,0,0,154,0.30892,1,-,-,-,-,-,-,
0,0,0,155,0.3068,1,-,-,-,-,-,-,
0,0,0,156,0.30469,1,-,-,-,-,-,-,
0,0,0,157,0.30257,1,-,-,-,-,-,-,
0,0,0,158,0.30045,1,-,-,-,-,-,-,
0,0,0,159,0.29834,1,-,-,-,-,-,-,
0,0,0,160,0.29622,1,-,-,-,-,-,-,
0,0,0,161,0.29428,1,-,-,-,-,-,-,
0,0,0,162,0.29233,1,-,-,-,-,-,-,
0,0,0,163,0.29038,1,-,-,-,-,-,-,
0,0,0,164,0.28844,1,-,-,-,-,-,-,
0,0,0,165,0.28649,1,-,-,-,-,-,-,
0,0,0,166,0.28455,1,-,-,-,-,-,-,
0,0,0,167,0.2826,1,-,-,-,-,-,-,
0,0,0,168,0.28065,1,-,-,-,-,-,-,
0,0,0,169,0.27871,1,-,-,-,-,-,-,
0,0,0,170,0.27676,1,-,-,-,-,-,-,
0,0,0,171,0.27492,1,-,-,-,-,-,-,
0,0,0,172,0.27309,1,-,-,-,-,-,-,
0,0,0,173,0.27125,1,-,-,-,-,-,-,
0,0,0,174,0.26941,1,-,-,-,-,-,-,
0,0,0,175,0.26757,1,-,-,-,-,-,-,
0,0,0,176,0.26573,1,-,-,-,-,-,-,
0,0,0,177,0.26389,1,-,-,-,-,-,-,
0,0,0,178,0.26205,1,-,-,-,-,-,-,
0,0,0,179,0.26022,1,-,-,-,-,-,-,
0,0,0,180,0.25838,1,-,-,-,-,-,-,
0,0,0,181,0.25671,1,-,-,-,-,-,-,
0,0,0,182,0.25504,1,-,-,-,-,-,-,
0,0,0,183,0.25337,1,-,-,-,-,-,-,
0,0,0,184,0.2517,1,-,-,-,-,-,-,
